Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,user id,Interaction type,Date,Time,Product Name,Is Amazon Seller
1.0,55.0,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Express,1,Yes,14.0,Venmo,Fortnightly,1.0,purchase,2023-10-10,08:00:00,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete",Y
2.0,19.0,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,1,Yes,2.0,Cash,Fortnightly,2.0,view,2023-10-11,08:00:00,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",Y
3.0,50.0,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,1,Yes,23.0,Credit Card,Weekly,3.0,like,2023-10-12,08:00:00,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",Y
4.0,21.0,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,1,Yes,49.0,PayPal,Weekly,4.0,view,2023-10-13,08:00:00,Guillow Airplane Design Studio with Travel Case Building Kit,Y
5.0,45.0,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,1,Yes,31.0,PayPal,Annually,5.0,like,2023-10-14,08:00:00,Woodstock- Collage 500 pc Puzzle,Y
6.0,46.0,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,1,Yes,14.0,Venmo,Weekly,6.0,like,2023-10-15,08:00:00,"Terra by Battat – 4 Dinosaur Toys, Medium – Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)",Y
7.0,63.0,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,1,Yes,49.0,Cash,Quarterly,7.0,purchase,2023-10-16,08:00:00,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small",Y
8.0,27.0,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,1,Yes,19.0,Credit Card,Weekly,8.0,view,2023-10-17,08:00:00,"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2)",Y
9.0,26.0,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,1,Yes,8.0,Venmo,Annually,9.0,like,2023-10-18,08:00:00,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",Y
10.0,57.0,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,1,Yes,4.0,Cash,Quarterly,10.0,purchase,2023-10-19,08:00:00,Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box,Y
11.0,53.0,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,1,Yes,26.0,Bank Transfer,Bi-Weekly,11.0,purchase,2023-10-20,08:00:00,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",Y
